Rk,Player,AV,Season,Age,Team,G,GS,AV,Pos,Player-additional
317,Kitan Oladapo,1,2024,24,GNB,9,0,1,S,OladKi00
318,Amani Oruwariye,1,2024,28,DAL,7,4,1,CB,OruwAm00
319,Matthew Orzech,1,2024,29,GNB,17,0,1,LS,OrzeMa00
320,Tyler Ott,1,2024,32,WAS,17,0,1,LS,OttxTy00
321,Tyler Owens,1,2024,23,WAS,12,0,1,S,OwenTy00
322,Rico Payton,1,2024,25,NOR,16,0,1,CB,PaytRi00
323,Taybor Pepper,1,2024,30,SFO,17,0,1,LS,PeppTa00
324,Dell Pettus,1,2024,23,NWE,17,1,1,S,PettDe00
325,Deantre Prince,1,2024,24,JAX,10,0,1,CB,PrinDe01
326,Nehemiah Pritchett,1,2024,23,SEA,10,1,1,CB,PritNe00
327,Jeremy Reaves,1,2024,28,WAS,17,0,1,S,ReavJe00
328,Luke Rhodes,1,2024,32,IND,17,0,1,LS,RhodLu00
329,Robert Rochell,1,2024,26,GNB,11,0,1,CB,RochRo00
330,D'Angelo Ross,1,2024,28,HOU,10,2,1,CB,RossDA03
331,Asante Samuel Jr.,1,2024,25,LAC,4,4,1,CB,SamuAs00
332,Nick Scott,1,2024,29,CAR,10,4,1,S,ScotNi01
333,Trent Sieg,1,2024,29,DAL,17,0,1,LS,SiegTr00
334,Isaiah Simmons,1,2024,26,NYG,17,1,1,S,SimmIs00
335,JL Skinner,1,2024,23,DEN,14,0,1,S,SkinJL00
336,Christopher Smith,1,2024,24,LVR,15,0,1,S,SmitCh04
337,Tremon Smith,1,2024,28,DEN,17,0,1,CB,SmitTr04
338,M.J. Stewart,1,2024,29,HOU,15,0,1,S,StewM.00
339,Qwan'tez Stiggers,1,2024,22,NYJ,14,1,1,CB,StigQw00
340,Chris Stoll,1,2024,26,SEA,17,0,1,LS,StolCh00
341,Greg Stroman,1,2024,28,NYG,4,1,1,CB,StroGr00
342,Cameron Sutton,1,2024,29,PIT,9,2,1,CB,SuttCa00
343,Dadrion Taylor-Demerson,1,2024,23,ARI,17,2,1,S,TaylDa02
344,Keith Taylor,1,2024,26,KAN,11,0,1,CB,TaylKe03
345,Trey Taylor,1,2024,23,LVR,9,0,1,S,TaylTr03
346,Daniel Thomas,1,2024,26,JAX,15,0,1,S,ThomDa07
347,Rodney Thomas II,1,2024,26,IND,17,1,1,S,ThomRo07
348,Tavierre Thomas,1,2024,28,TAM,17,0,1,CB,ThomTa01
349,Cory Trice,1,2024,24,PIT,6,1,1,CB,TricCo00
350,K'Von Wallace,1,2024,27,SEA,9,0,1,S,WallKV00
351,Levi Wallace,1,2024,29,DEN,13,2,1,CB,WallLe00
352,Alex Ward,1,2024,25,LAR,17,0,1,LS,WardAl00
353,Jay Ward,1,2024,24,MIN,16,0,1,S,WardJa00
354,Sam Webb,1,2024,26,LVR,11,0,1,CB,WebbSa00
355,Jon Weeks,1,2024,38,HOU,17,0,1,LS,WeekJo00
356,Tre'Davious White,1,2024,29,LARBAL,11,4,1,DB,WhitTr01
357,Dee Williams,1,2024,25,NYGSEA,13,0,1,DB,WillDe11
358,James Winchester,1,2024,35,KAN,17,0,1,LS,WincJa00
359,Andrew Wingard,1,2024,28,JAX,8,2,1,S,WingAn01
360,Charles Woods,1,2024,24,LAR,12,0,1,CB,WoodCh01
361,Julius Wood,1,2024,23,TEN,9,0,1,S,WoodJu00
362,Zach Wood,1,2024,31,NOR,17,0,1,LS,WoodZa00
363,Rock Ya-Sin,1,2024,28,SFO,13,0,1,CB,Ya-SRo00
