draft_year,team,grp,need_rank,cap_rank_prop_in_need_space,cap_pred_elastic,cap_resid_elastic,cap_resid_elastic_std
2006,BUF,double,8,3.0,16.415819597069603,13.415819597069603,1.4153295666207542
2006,CHI,double,32,6.866666666666667,18.678456959706967,11.8117902930403,1.2461091859132896
2006,ATL,single,29,12.666666666666666,18.3956272893773,5.728960622710632,0.6043885203330778
2006,BAL,single,30,28.133333333333333,18.489903846153855,-9.643429487179478,-1.0173534891456637
2006,CAR,single,31,22.333333333333332,18.58418040293041,-3.7491529304029214,-0.39552462328437554
2006,CIN,single,9,8.8,16.51009615384616,7.710096153846159,0.8133925004783897
2006,DET,single,18,14.6,17.358585164835173,2.758585164835173,0.2910226332117211
2006,IND,single,16,24.266666666666666,17.170032051282057,-7.096634615384609,-0.74867410984358
2006,KC,single,10,20.4,16.604372710622716,-3.7956272893772827,-0.40042753166580064
2006,MIA,single,23,4.933333333333334,17.829967948717957,12.896634615384624,1.3605570758454077
2006,MIN,single,24,18.46666666666667,17.924244505494514,-0.5424221611721549,-0.05722394496605841
2006,NO,single,3,16.53333333333333,15.944436813186817,-0.5888965201465144,-0.06212685334748336
2006,PIT,single,28,26.2,18.301350732600742,-7.898649267399257,-0.833284300197312
2006,SEA,single,21,10.733333333333334,17.64141483516484,6.908081501831507,0.7287823101246574
2006,TEN,single,5,30.066666666666666,16.13298992673993,-13.933676739926735,-1.4699619742994876
2006,WAS,single,25,32.0,18.01852106227107,-13.98147893772893,-1.4750049657775244
2007,CIN,double,7,5.153846153846154,13.284712713835601,8.130866559989446,0.9109192706828817
2007,ATL,single,5,15.538461538461538,12.966693610914076,-2.5717679275474623,-0.2881209459831796
2007,CLE,single,21,17.615384615384617,15.510846434286282,-2.1045381810983343,-0.2357761464791351
2007,HOU,single,3,28.0,12.648674507992549,-15.351325492007451,-1.7198435268888619
2007,IND,single,27,25.923076923076923,16.464903743050858,-9.458173180026066,-1.0596204170337433
2007,JAX,single,28,11.384615384615385,16.623913294511624,5.239297909896239,0.5869703303775807
2007,MIN,single,13,23.846153846153847,14.238770022600178,-9.607383823553668,-1.0763368210698299
2007,NE,single,18,13.461538461538462,15.033817779903993,1.5722793183655313,0.17614598879816903
2007,NO,single,16,21.76923076923077,14.715798676982468,-7.053432092248302,-0.7902118636282718
2007,NYG,single,14,9.307692307692308,14.39777957406094,5.0900872663686325,0.570253926341494
2007,NYJ,single,24,3.076923076923077,15.98787508866857,12.910952011745493,1.4464429964001468
2007,SEA,single,19,19.692307692307693,15.192827331364755,-4.499480360942938,-0.504086906186714
2007,TEN,single,9,7.230769230769231,13.602731816757128,6.371962585987897,0.7138653019112194
2007,WAS,single,1,1.0,12.330655405071024,11.330655405071024,1.2693988127582487
2008,NYG,double,23,5.769230769230769,15.216340175899642,9.447109406668872,0.9285332101341566
2008,ARI,single,15,3.3846153846153846,16.86886776554607,13.484252380930686,1.3253340900959854
2008,BUF,single,7,1.0,18.521395355192503,17.521395355192503,1.7221349700578144
2008,CAR,single,19,24.846153846153847,16.04260397072286,-8.803549875430988,-0.8652793224390577
2008,DAL,single,27,10.538461538461538,14.390076381076426,3.8516148426148877,0.3785657749966312
2008,GB,single,22,20.076923076923077,15.422906124605444,-4.654016952317633,-0.4574319100934431
2008,HOU,single,3,29.615384615384617,19.34765915001572,-10.267725465368898,-1.0091895495996959
2008,KC,single,20,12.923076923076923,15.836038022017053,2.91296109894013,0.2863078010174678
2008,MIN,single,14,17.692307692307693,17.075433714251876,-0.6168739780558177,-0.060631030131614125
2008,NE,single,28,22.46153846153846,14.183510432370621,-8.278028029167839,-0.8136270692575831
2008,NO,single,1,15.307692307692308,19.760791047427325,4.453098739735017,0.43768415182443665
2008,NYJ,single,18,32.0,16.24916991942866,-15.75083008057134,-1.5481104523534355
2008,SF,single,6,27.23076923076923,18.727961303898308,-8.502807926870922,-0.8357201340251548
2008,TB,single,32,8.153846153846153,13.357246637547405,5.203400483701252,0.5114294697734831
2009,ATL,double,10,12.538461538461538,14.084005047513585,1.545543509052047,0.16431873930882518
2009,MIA,double,19,5.615384615384615,17.856120110221212,12.240735494836597,1.3014077008792921
2009,NE,double,16,3.3076923076923075,16.598748422652005,13.291056114959698,1.413075446987939
2009,NO,double,9,1.0,13.664881151657182,12.664881151657182,1.3465019212644687
2009,ARI,single,17,28.692307692307693,17.017872318508406,-11.674435373799287,-1.241199934864112
2009,BAL,single,31,24.076923076923077,22.88560686049805,-1.191316216425026,-0.12665808348623306
2009,BUF,single,11,14.846153846153847,14.503128943369989,-0.3430249027838581,-0.03646964271588018
2009,CAR,single,20,17.153846153846153,18.275244006077614,1.1213978522314605,0.11922451892364844
2009,DEN,single,5,10.23076923076923,11.988385568231571,1.7576163374623412,0.18686584950141363
2009,DET,single,1,7.923076923076923,10.311889984805958,2.388813061729035,0.253973277652031
2009,IND,single,22,26.384615384615383,19.113491797790424,-7.2711235868249595,-0.7730496450912308
2009,KC,single,7,31.0,12.826633359944376,-18.173366640055626,-1.9321518144271392
2009,MIN,single,13,21.76923076923077,15.341376735082795,-6.427854034147975,-0.6833951067480253
2009,WAS,single,23,19.46153846153846,19.532615693646825,0.07107723210836525,0.007556772815002014
2010,CHI,double,15,23.733333333333334,16.149292929292933,-7.584040404040401,-0.7568403685879634
2010,CLE,double,4,3.066666666666667,13.944848484848485,10.878181818181819,1.0855753263726615
2010,KC,double,11,1.0,15.34767676767677,14.34767676767677,1.4318094834310695
2010,DAL,single,13,32.0,15.74848484848485,-16.25151515151515,-1.6218007898313507
