draft_year,team,db_picks_top3,double_db_top3,single_db_top3,db_capital_top3,total_capital_top3,db_cap_share,rank_prev,pct_prev,n_teams,need_rank,need_pct_eps,NDI_rank,NDI_pct_eps,ndi_rank_pctile,ndi_pct_eps_pctile
2007,TEN,1,0,1,875.0,1465.0,0.5972696245733788,24.0,0.2580645161290322,32.0,0.75,0.7419354838709677,1166.6666666666667,1179.3478260869565,0.7931034482758621,0.7931034482758621
2007,CLE,1,0,1,370.0,3350.0,0.11044776119402985,12.0,0.6451612903225806,32.0,0.375,0.3548387096774194,986.6666666666666,1042.7272727272727,0.7586206896551724,0.7586206896551724
2007,SEA,1,0,1,350.0,569.0,0.6151142355008787,14.0,0.5806451612903225,32.0,0.4375,0.4193548387096775,800.0,834.6153846153845,0.7241379310344828,0.7241379310344828
2007,IND,1,0,1,120.0,1190.0,0.10084033613445378,6.0,0.8387096774193549,32.0,0.1875,0.16129032258064513,640.0,744.0000000000001,0.6896551724137931,0.6896551724137931
2007,ATL,1,0,1,490.0,2400.0,0.20416666666666666,28.0,0.1290322580645161,32.0,0.875,0.8709677419354839,560.0,562.5925925925926,0.6551724137931034,0.6551724137931034
2007,NO,1,0,1,260.0,1090.0,0.23853211009174313,17.0,0.4838709677419355,32.0,0.53125,0.5161290322580645,489.4117647058824,503.75,0.6206896551724138,0.6206896551724138
2007,MIN,1,0,1,230.0,2190.0,0.1050228310502283,20.0,0.3870967741935484,32.0,0.625,0.6129032258064516,368.0,375.2631578947368,0.5862068965517241,0.5862068965517241
2007,HOU,1,0,1,49.0,1574.0,0.031130876747141042,30.0,0.0645161290322581,32.0,0.9375,0.9354838709677419,52.266666666666666,52.37931034482759,0.5517241379310345,0.5517241379310345
2007,ARI,0,0,0,0.0,2525.0,0.0,31.0,0.032258064516129,32.0,0.96875,0.967741935483871,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,BAL,0,0,0,0.0,1020.0,0.0,2.0,0.967741935483871,32.0,0.0625,0.032258064516129004,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,BUF,0,0,0,0.0,1892.0,0.0,10.0,0.7096774193548387,32.0,0.3125,0.29032258064516125,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,CAR,0,0,0,0.0,1480.0,0.0,8.0,0.7741935483870968,32.0,0.25,0.22580645161290325,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,CHI,0,0,0,0.0,1012.0,0.0,1.0,1.0,32.0,0.03125,0.03125,0.0,0.0,0.27586206896551724,0.27586206896551724
2007,DAL,0,0,0,0.0,1043.0,0.0,21.0,0.3548387096774194,32.0,0.65625,0.6451612903225806,0.0,0.0,0.27586206896551724,0.27586206896551724
