team,draft_year,grp,DCI_Year1,DCI_Year2,DCI_Year3,DCI_Year4,DCI_Year5
MIA,2019,zero,0.0,0.0,0.0,0.0,0.0
MIA,2020,single,0.010930626256135818,0.015130677258379,0.008779526893015824,0.0,0.0
MIA,2021,single,0.014150258926715202,0.0013102731370843255,0.008396207077598116,0.0,0.0
MIA,2022,zero,0.0,0.0,0.0,0.0,0.0
MIN,2013,single,-0.01791829490187859,0.0,0.00684105836437115,0.01853985022201227,0.015033733004807204
MIN,2014,zero,0.0,0.0,0.0,0.0,0.0
MIN,2015,single,0.005039405589021496,0.01873765657743626,0.013510835375748811,0.012552991385598964,0.0
MIN,2016,single,0.0038288471625918196,0.006132622845265381,0.0035960772237958356,0.0,-0.021548224424118963
MIN,2017,zero,0.0,0.0,0.0,0.0,0.0
MIN,2018,single,-0.001263679262431089,-0.0012742714144760821,0.0,0.0,0.0
MIN,2019,zero,0.0,0.0,0.0,0.0,0.0
MIN,2020,single,-0.023335726265352397,-0.008308448972474814,0.0,0.0,0.0
MIN,2021,zero,0.0,0.0,0.0,0.0,0.0
MIN,2022,double,-0.0029329203624203436,0.0,0.0,0.0,0.0
NE,2013,single,0.01822095770943526,0.040526403343478935,0.04614905222858751,0.024063296883307286,0.0066952530016244904
NE,2014,zero,0.0,0.0,0.0,0.0,0.0
NE,2015,single,7.905554829818289e-05,0.0021874996089592995,0.0,0.0,0.0
NE,2016,single,0.0,-0.00017554594274105887,0.0,0.0,0.0
NE,2017,zero,0.0,0.0,0.0,0.0,0.0
NE,2018,single,0.0,0.0,0.0,0.0,0.0
NE,2019,single,0.002397859868153582,-0.0038687729434665062,0.0,0.0,0.0
NE,2020,single,-0.020008624382387367,-0.001019162501715184,-0.007622168755264518,-0.010855506248651904,0.0
NE,2021,zero,0.0,0.0,0.0,0.0,0.0
NE,2022,single,-0.00024261741779719404,-0.007606380331504629,0.0,0.0,0.0
NO,2013,single,0.0461672952412822,0.016058491758391684,0.0,0.006286854501083195,0.0
NO,2014,single,0.0,0.0,0.0,0.0,0.0
NO,2015,zero,-0.0012574378634983892,-0.0030828165420616277,0.012580264126760119,-0.0017735308537441897,0.015059214864419891
NO,2016,single,0.008543207491341707,0.025571711274903607,0.01132617252282261,0.0,0.0
NO,2017,double,0.041700315016729016,0.004308037374745787,0.06440291234902278,0.08361382976983395,0.014452211195476005
NO,2018,zero,0.0,0.0,0.0,0.0,0.0
NO,2019,double,0.0,0.0,0.0,0.0,0.0
NO,2020,zero,0.0,0.0,0.0,0.0,0.0
NO,2021,single,-0.004659868194145656,0.002642077074831376,-0.0011861396880179299,0.0,0.0
NO,2022,single,0.008219798790747723,0.0030198784633324025,0.0,0.0,0.0
NYG,2013,zero,0.0,0.0,0.0,0.0,0.0
NYG,2014,zero,0.0,0.0,0.0,0.0,0.0
NYG,2015,single,-0.014713030106957917,0.015183316464983766,-0.0034178525350232526,0.0,0.0
NYG,2016,double,0.051640071929062024,0.0027285585937863767,0.0,0.0,0.0
NYG,2017,zero,0.0,0.0,0.0,0.0,0.0
NYG,2018,zero,0.0,0.0,0.0,0.0,0.0
NYG,2019,single,0.0,0.0,0.0,0.0,0.0
NYG,2020,single,0.03240256461984638,0.022617918206614476,0.02423896938672262,0.0,0.0
NYG,2021,single,0.0004777496058271789,0.0,0.0,0.0,0.0
NYG,2022,zero,-0.008053199472315175,-0.008375212288762628,0.0,0.0,0.0
