player_key,pos_group,draft_season,round,pick,player_snaps_two_yr,team_snaps_two_yr,seasons_observed,snap_share_two_yr,bust,pos_code_main,pos_thresh,ABI_pos,bust_adj_pos,draft_year_x,team,team_def_snaps_3yr,draft_year_y,ewii,DCI,draft_year,grp
LEWIS CINE,DB,2022,1,32,10.0,691.0,2,0.01447178002894356,1,FS,0.2642123395618421,0.05477329352952595,1,2022,MIN,39044.0,2022.0,0.022472855852058576,5.7557770341303596e-06,2022.0,double
LONNIE JOHNSON JR.,DB,2019,2,54,1282.0,2187.0,2,0.5861911294010059,0,CB,0.2661937642864212,2.202121942910246,0,2019,HOU,38266.0,2019.0,-0.3856624808119848,-0.012920590090444899,2019.0,single
MARCUS JONES,DB,2022,3,85,414.0,1100.0,2,0.37636363636363634,0,CB,0.2661937642864212,1.4138709724194505,0,2022,NWE,0.0,,,0.0,,unknown
MARQUISE BLAIR,DB,2019,2,47,301.0,1151.0,2,0.26151172893136404,1,FS,0.2642123395618421,0.9897786354908457,1,2019,SEA,40519.0,2019.0,0.20294084399669038,0.001507569141464592,2019.0,single
MARTIN EMERSON,DB,2022,3,68,1686.0,2098.0,2,0.8036224976167778,0,CB,0.2661937642864212,3.018938102367003,0,2022,CLE,36098.0,2022.0,0.016807118316381407,0.0007849964397312608,2022.0,single
MICHAEL OJEMUDIA,DB,2020,3,77,937.0,1233.0,2,0.7599351175993512,0,CB,0.2661937642864212,2.854819381800658,0,2020,DEN,36540.0,2020.0,0.1445812288111077,0.0037075153638754213,2020.0,single
MIKE EDWARDS,DB,2019,3,99,934.0,2408.0,2,0.38787375415282394,0,FS,0.2642123395618421,1.4680379985130763,0,2019,TAM,0.0,,,0.0,,unknown
NAHSHON WRIGHT,DB,2021,3,99,219.0,1348.0,2,0.16246290801186944,1,CB,0.2661937642864212,0.6103182335896544,1,2021,DAL,39977.0,2021.0,0.3398678256223509,0.0018618469072540424,2021.0,single
NASIR ADDERLEY,DB,2019,2,60,897.0,1195.0,2,0.7506276150627615,0,S,0.2905953887168979,2.5830678813490517,0,2019,LAC,34882.0,2019.0,0.0,0.0,2019.0,single
NICK CROSS,DB,2022,3,96,414.0,2242.0,2,0.18465655664585193,1,SS,0.2516845475376784,0.7336825341579938,1,2022,IND,38120.0,2022.0,-0.12014431184206321,-0.0013048201758293328,2022.0,zero
NOAH IGBINOGHENE,DB,2020,1,30,365.0,1470.0,2,0.24829931972789115,1,CB,0.2661937642864212,0.9327766200440524,1,2020,MIA,37156.0,2020.0,0.3448404862917296,0.003387522270870958,2020.0,single
PATRICK SURTAIN II,DB,2021,1,9,2008.0,2152.0,2,0.9330855018587361,0,CB,0.2661937642864212,3.5052868513281457,0,2021,DEN,37001.0,2021.0,0.3364722366212129,0.018259945707829395,2021.0,single
PAULSON ADEBO,DB,2021,3,76,1662.0,1982.0,2,0.8385469223007064,0,CB,0.2661937642864212,3.1501373615891324,0,2021,NOR,0.0,,,0.0,,unknown
QUINCY WILLIAMS,DB,2019,3,98,582.0,1222.0,2,0.4762684124386252,0,LB,0.2560338817712687,1.8601772903795055,0,2019,JAX,36086.0,2019.0,-0.6118015411059929,-0.009867219889255886,2019.0,zero
