full_name,position,career_length,position_group
Antuan Edwards,DB,6,DB
Brian Edwards,RB,2,RB
Donnie Edwards,LB,9,LB
Marc Edwards,RB,6,RB
Robert Edwards,RB,2,RB
Troy Edwards,WR,6,WR
Emil Ekiyor,DL,2,DL
Ebenezer Ekuban,DL,8,DL
Jason Elam,SPEC,10,SP
Jumbo Elliott,OL,1,OL
Ed Ellis,OL,4,OL
Greg Ellis,DL,10,DL
Luther Elliss,DL,5,DL
Percy Ellsworth,DB,2,DB
Bert Emanuel,WR,2,WR
Keith Embray,DL,2,DL
Carlos Emmons,LB,7,LB
Derek Engler,OL,1,OL
Bobby Engram,WR,10,WR
Curtis Enis,RB,1,RB
Chuck Evans,RB,1,RB
Doug Evans,DB,4,DB
Josh Evans,DL,8,DL
Steve Everitt,OL,1,OL
Jason Fabini,OL,9,OL
Terry Fair,DB,4,DB
Alan Faneca,OL,11,OL
D'Marco Farr,DL,1,DL
James Farrior,LB,12,LB
Kevin Faulk,RB,12,RB
Marshall Faulk,RB,6,RB
Christian Fauria,TE,8,TE
Greg Favors,LB,6,LB
Brett Favre,QB,11,QB
Jermaine Fazande,RB,1,RB
Jeff Feagles,SPEC,10,SP
Jason Ferguson,DL,10,DL
Nick Ferguson,DB,10,DB
John Fiala,LB,3,LB
Jay Fiedler,QB,6,QB
Mark Fields,LB,6,LB
John Fina,OL,3,OL
Jim Finn,RB,7,RB
Brian Finneran,WR,9,WR
Dave Fiore,OL,4,OL
Mark Fischer,OL,2,OL
Charles Fisher,DB,1,DB
Jason Fisk,DL,7,DL
Mike Flanagan,OL,8,OL
Jim Flanigan,DL,4,DL
Derrick Fletcher,OL,4,OL
London Fletcher,LB,14,LB
Terrell Fletcher,RB,3,RB
Lee Flowers,DB,2,DB
Chris Floyd,RB,1,RB
William Floyd,RB,1,RB
Doug Flutie,QB,6,QB
Mike Flynn,OL,8,OL
Spencer Folau,OL,5,OL
Steve Foley,LB,5,LB
James Folston,LB,2,LB
Albert Fontenot,DL,2,DL
Chris Fontenot,TE,1,TE
Jerry Fontenot,OL,5,OL
Henry Ford,DL,4,DL
Todd Fordham,OL,7,OL
Jay Foreman,LB,7,LB
Roman Fortin,OL,2,OL
Rob Fredrickson,LB,3,LB
Antonio Freeman,WR,4,WR
Rufus French,TE,1,TE
Gus Frerotte,QB,9,QB
Ben Fricke,OL,2,OL
Lennie Friedman,OL,8,OL
John Friesz,QB,1,QB
Scott Frost,DB,3,DB
Irving Fryar,WR,1,WR
Chris Fuamatu-Ma'afala,RB,5,RB
Corey Fuller,DB,8,DB
Oronde Gadsden,WR,4,WR
Joey Galloway,WR,11,WR
Scott Galyon,LB,3,LB
Kendall Gammon,TE,7,TE
Wayne Gandy,OL,9,OL
Rich Gannon,QB,5,QB
Frank Garcia,OL,4,OL
Jeff Garcia,QB,11,QB
Daryl Gardener,DL,4,DL
Barry Gardner,LB,6,LB
Chris Gardocki,SPEC,7,SP
Kelvin Garmon,OL,5,OL
Charlie Garner,RB,5,RB
Sam Garnes,DB,4,DB
Jason Garrett,QB,5,QB
Olandis Gary,RB,4,RB
Sam Gash,RB,4,RB
Cory Geason,TE,3,TE
Chris Gedney,TE,1,TE
Eddie George,RB,5,RB
Jeff George,QB,4,QB
Ron George,LB,1,LB
Tony George,DB,1,DB
Joe Germaine,QB,3,QB
Jammi German,WR,2,WR
Aaron Gibson,OL,5,OL
Oliver Gibson,DL,4,DL
Sean Gilbert,DL,4,DL
Jason Gildon,LB,5,LB
Reggie Givens,LB,1,LB
Chris Gizzi,LB,2,LB
Aaron Glenn,DB,9,DB
Tarik Glenn,OL,7,OL
Terry Glenn,WR,8,WR
Andrew Glover,TE,1,TE
La'Roi Glover,DL,9,DL
Phil Glover,LB,1,LB
Randall Godfrey,LB,8,LB
Mike Goff,OL,10,OL
Kevin Gogan,OL,1,OL
Tony Gonzalez,TE,14,TE
Jeff Gooch,LB,5,LB
Hunter Goodwin,TE,4,TE
Darrien Gordon,DB,3,DB
Dwayne Gordon,LB,1,LB
Lennox Gordon,RB,1,RB
Toby Gowin,SPEC,5,SP
Scott Gragg,OL,6,OL
DeMingo Graham,OL,3,OL
Jeff Graham,WR,2,WR
Kent Graham,QB,3,QB
Martin Gramatica,SPEC,8,SP
Billy Granville,LB,1,LB
Paul Grasmanis,DL,6,DL
Carlton Gray,DB,1,DB
Chris Gray,OL,8,OL
Tony Graziani,QB,1,QB
Elvis Grbac,QB,2,QB
Ahman Green,RB,10,RB
Darrell Green,DB,3,DB
E.G. Green,WR,1,WR
Jacquez Green,WR,3,WR
Lamont Green,LB,1,LB
Trent Green,QB,9,QB
Victor Green,DB,4,DB
Donovan Greer,DB,3,DB
Kelly Gregg,DL,12,DL
Chris Greisen,QB,4,QB
Brian Griese,QB,9,QB
Damon Griffin,WR,2,WR
Howard Griffith,RB,2,RB
Rich Griffith,TE,1,TE
Robert Griffith,DB,7,DB
Clif Groce,RB,1,RB
Tim Grunhard,OL,1,OL
Mike Gruttadauria,OL,3,OL
Brock Gutierrez,OL,6,OL
Az-Zahir Hakim,WR,7,WR
Mike Halapin,OL,1,OL
Ryan Hale,DL,1,DL
Jermaine Haley,DL,5,DL
Cory Hall,DB,5,DB
Jeff Hall,SPEC,1,SP
John Hall,SPEC,8,SP
Lamont Hall,TE,5,TE
Lemanski Hall,LB,3,LB
Travis Hall,DL,6,DL
Bob Hallen,OL,6,OL
Ty Hallock,LB,1,LB
Derrick Ham,DL,2,DL
Darren Hambrick,LB,3,LB
Bobby Hamilton,DL,8,DL
Keith Hamilton,DL,4,DL
Michael Hamilton,LB,1,LB
Uhuru Hamiter,DL,2,DL
Norman Hand,DL,5,DL
Karl Hankton,WR,7,WR
Phil Hansen,DL,2,DL
Chris Hanson,SPEC,10,SP
Jason Hanson,SPEC,13,SP
Patrick Hape,TE,5,TE
Jim Harbaugh,QB,2,QB
Kevin Hardy,LB,5,LB
Terry Hardy,TE,2,TE
Al Harris,DB,12,DB
Bernardo Harris,LB,3,LB
Corey Harris,DB,4,DB
Derrick Harris,RB,2,RB
Jackie Harris,TE,2,TE
Johnnie Harris,DB,4,DB
Raymont Harris,RB,1,RB
Sean Harris,LB,2,LB
Walt Harris,DB,9,DB
Marvin Harrison,WR,9,WR
Nolan Harrison,DL,1,DL
Rodney Harrison,DB,9,DB
Jeff Hartings,OL,7,OL
Mark Hartsell,QB,1,QB
Richard Harvey,LB,1,LB
Harald Hasselbach,DL,1,DL
Matt Hasselbeck,QB,15,QB
Andre Hastings,WR,1,WR
James Hasty,DB,2,DB
Armon Hatcher,DB,1,DB
Matt Hatchette,WR,2,WR
Tim Hauck,DB,3,DB
Artrell Hawkins,DB,7,DB
Courtney Hawkins,WR,1,WR
Chris Hayes,DB,3,DB
Donald Hayes,WR,3,WR
Garrison Hearst,RB,5,RB
Rodney Heath,DB,3,DB
Andy Heck,OL,1,OL
George Hegamin,OL,1,OL
Steve Heiden,TE,10,TE
Craig Heimburger,OL,2,OL
Dale Hellestrae,OL,2,OL
William Henderson,RB,7,RB
Chad Hennings,DL,1,DL
Kevin Henry,DL,1,DL
Craig Hentrich,SPEC,10,SP
Jimmy Herndon,OL,3,OL
Kim Herring,DB,4,DB
Chris Hetherington,RB,7,RB
Eric Hicks,DL,8,DL
Robert Hicks,OL,1,OL
Skip Hicks,RB,3,RB
Eric Hill,LB,1,LB
James Hill,TE,1,TE
Madre Hill,RB,2,RB
Raion Hill,DB,2,DB
Ray Hill,DB,2,DB
Ike Hilliard,WR,9,WR
Jimmy Hitchcock,DB,3,DB
Billy Joe Hobert,QB,1,QB
Nate Hobgood-Chittick,DL,3,DL
James Hodgins,RB,6,RB
Kelly Holcomb,QB,8,QB
Robert Holcombe,RB,5,RB
Warrick Holdman,LB,7,LB
John Holecek,LB,3,LB
Darius Holland,DL,4,DL
Vonnie Holliday,DL,13,DL
Dwight Hollier,LB,1,LB
Mike Hollis,SPEC,3,SP
Rob Holmberg,LB,2,LB
Earl Holmes,LB,6,LB
Jaret Holmes,SPEC,2,SP
Kenny Holmes,DL,4,DL
Lester Holmes,OL,1,OL
Priest Holmes,RB,7,RB
Bernard Holsey,DL,3,DL
Torry Holt,WR,10,WR
Brad Hopkins,OL,6,OL
Tyrone Hopson,OL,5,OL
Joe Horn,WR,9,WR
Tony Horne,WR,1,WR
Bobbie Howard,LB,4,LB
Chris Howard,RB,1,RB
Desmond Howard,WR,3,WR
Ty Howard,DB,1,DB
Bobby Hoying,QB,2,QB
Brock Huard,QB,4,QB
Damon Huard,QB,9,QB
John Hudson,OL,1,OL
Deon Humphrey,LB,3,LB
Cletidus Hunt,DL,5,DL
Richard Huntley,RB,3,RB
Michael Husted,SPEC,2,SP
Tony Hutson,OL,1,OL
Steve Ingram,OL,1,OL
Ken Irvin,DB,6,DB
Sedrick Irvin,RB,2,RB
Heath Irwin,OL,3,OL
Sale Isaia,OL,1,OL
Qadry Ismail,WR,3,WR
Raghib Ismail,WR,2,WR
Steve Israel,DB,2,DB
Larry Izzo,LB,10,LB
Brad Jackson,LB,3,LB
Chris Jackson,WR,6,WR
Dexter Jackson,DB,9,DB
Grady Jackson,DL,10,DL
Greg Jackson,DB,1,DB
John Jackson,OL,3,OL
Lenzie Jackson,WR,3,WR
Raymond Jackson,DB,2,DB
Sheldon Jackson,TE,2,TE
Terry Jackson,RB,6,RB
Tyoka Jackson,DL,7,DL
Waverly Jackson,OL,3,OL
Willie Jackson,WR,3,WR
Kendyl Jacox,OL,7,OL
Nate Jacquet,WR,3,WR
Edgerrin James,RB,10,RB
Tory James,DB,7,DB
Jon Jansen,OL,9,OL
Ed Jasper,DL,2,DL
Patrick Jeffers,WR,2,WR
Greg Jefferson,DL,1,DL
Shawn Jefferson,WR,4,WR
Greg Jeffries,DB,1,DB
Billy Jenkins,DB,3,DB
DeRon Jenkins,DB,2,DB
James Jenkins,TE,1,TE
Kerry Jenkins,OL,4,OL
Marcus Jenkins,OL,1,OL
MarTay Jenkins,WR,3,WR
Travis Jervey,RB,4,RB
James Jett,WR,3,WR
John Jett,SPEC,4,SP
Anthony Johnson,RB,9,RB
Brad Johnson,QB,9,QB
Charles Johnson,WR,13,WR
Ellis Johnson,DL,5,DL
