draft_year,team,pdx4_prev,perf_pct_prev,perf_rank_prev,n_teams,need_rank,need_pct,db_picks_top3,db_capital_top3,total_capital_top3,grp,cap_rank_raw,cap_rank_prop_in_need_space,need_rank_prop_in_cap_space,index_A,index_B,abs_index_A,abs_index_B,index_A_rank_signed,index_A_rank_abs,index_B_rank_signed,index_B_rank_abs,cap_pred_elastic,RMSE,cap_resid_elastic,cap_resid_elastic_std,ln_cap,ln_need,pred_frontier90,gap_to_frontier,frontier_eff
2015,BUF,1.4864992086703306,1.0,1,32,32,0.0,1,400.0,614.4,single,10.0,22.46153846153846,14.0,9.53846153846154,4.0,9.53846153846154,4.0,5.0,9.0,5.0,11.0,15.038935584443998,10.325469955449776,-7.422602877094462,-0.7188634424505606,5.991464547107982,3.4657359027997265,6.937167439131292,0.9457028920233101,0.38840646712422
2015,KC,0.8825770586071251,0.9032258064516128,4,32,29,0.0967741935483871,1,900.0,1520.0,single,4.0,8.153846153846153,13.0,20.846153846153847,9.0,20.846153846153847,9.0,2.0,2.0,2.0,2.0,15.365343592174597,10.325469955449776,7.211497438328443,0.6984183256978265,6.802394763324311,3.367295829986474,6.91548450622264,0.11308974289832907,0.8930705097836475
2015,HOU,0.759706741297434,0.8709677419354839,5,32,28,0.12903225806451613,1,1000.0,1710.0,single,2.0,3.3846153846153846,12.0,24.615384615384617,10.0,24.615384615384617,10.0,1.0,1.0,1.0,1.0,15.474146261418129,10.325469955449776,12.089530876802744,1.1708455817472887,6.907755278982137,3.332204510175204,6.907755105873787,-1.731083498768271e-07,1.0
2015,SF,0.6878996350769855,0.8387096774193549,6,32,27,0.16129032258064516,1,440.0,1585.0,single,8.0,17.692307692307693,11.0,9.307692307692307,3.0,9.307692307692307,3.0,6.0,10.0,6.0,12.0,15.582948930661662,10.325469955449776,-2.109358761646032,-0.2042869497221009,6.0867747269123065,3.295836866004329,6.899744575547395,0.8129698486350883,0.4435388649857706
2015,GB,0.6406487898918152,0.7741935483870968,8,32,25,0.22580645161290322,2,904.0,1028.0,double,3.0,5.769230769230769,10.0,19.23076923076923,7.0,19.23076923076923,7.0,3.0,3.0,3.0,4.0,15.800554269148726,10.325469955449776,10.031323499917956,0.9715125358166803,6.806829360392176,3.2188758248682006,6.882792728155932,0.07596336776375612,0.9268501585314801
2015,DET,0.5892356236597494,0.7419354838709677,9,32,24,0.25806451612903225,1,190.0,1210.0,single,14.0,32.0,9.0,-8.0,-5.0,8.0,5.0,9.0,12.0,9.0,7.0,15.90935693839226,10.325469955449776,-16.09064306160774,-1.5583448628519914,5.247024072160486,3.1780538303479458,6.873801058980116,1.62677698681963,0.1965620764608979
2015,IND,0.2311318256259956,0.6129032258064516,13,32,20,0.3870967741935484,1,265.0,1033.0,single,13.0,29.615384615384617,8.0,-9.615384615384617,-5.0,9.615384615384617,5.0,11.0,8.0,9.0,7.0,16.34456761536639,10.325469955449776,-13.270817000018226,-1.2852506527331375,5.579729825986222,2.995732273553991,6.833641945208797,1.2539121192225746,0.28538614551247
2015,NE,0.1376211393233106,0.5806451612903225,14,32,19,0.41935483870967744,1,270.0,972.0,single,12.0,27.23076923076923,7.0,-8.23076923076923,-5.0,8.23076923076923,5.0,10.0,11.0,9.0,7.0,16.453370284609925,10.325469955449776,-10.777398946159305,-1.0437683701235314,5.598421958998375,2.9444389791664403,6.822343811947773,1.223921852949398,0.29407458511523443
2015,MIN,0.0983622153342012,0.5483870967741935,15,32,18,0.45161290322580644,1,1250.0,1850.0,single,1.0,1.0,6.0,17.0,5.0,17.0,5.0,4.0,5.0,4.0,7.0,16.562172953853455,10.325469955449776,15.562172953853455,1.507163646884639,7.1308988302963465,2.8903717578961645,6.81043467882894,-0.3204641514674069,1.0
2015,DAL,-0.2978359290530741,0.3870967741935484,20,32,13,0.6129032258064516,1,680.0,1116.0,single,5.0,10.538461538461538,5.0,2.4615384615384617,0.0,2.4615384615384617,0.0,7.0,14.0,7.0,14.0,17.10618630007112,10.325469955449776,6.567724761609581,0.6360702989739601,6.522092798170152,2.5649493574615367,6.738755413729425,0.21666261555927324,0.8052015859695614
